,date,instrument,action,price,volume
98,2011-10-20 00:00:00,IF,SELL_SHORT,2532.2,229
99,2011-10-21 00:00:00,rb,BUY_TO_COVER,4013.0,1122
100,2011-10-24 00:00:00,IF,BUY_TO_COVER,2581.0,229
101,2011-12-08 00:00:00,IF,SELL_SHORT,2519.2,250
102,2011-12-12 00:00:00,IF,SELL_SHORT,2483.6,264
103,2011-12-13 00:00:00,IF,SELL_SHORT,2437.4,267
104,2011-12-15 00:00:00,IF,SELL_SHORT,2358.6,279
105,2011-12-16 00:00:00,IF,BUY_TO_COVER,2380.4,1060
106,2011-12-19 00:00:00,IF,SELL_SHORT,2395.2,264
107,2011-12-21 00:00:00,IF,SELL_SHORT,2347.6,262
108,2011-12-27 00:00:00,IF,SELL_SHORT,2324.8,262
109,2011-12-30 00:00:00,IF,BUY_TO_COVER,2388.0,788
110,2012-01-05 00:00:00,IF,SELL_SHORT,2296.2,260
111,2012-01-09 00:00:00,IF,BUY_TO_COVER,2388.6,260
112,2012-01-17 00:00:00,rb,BUY,4294.0,292
113,2012-01-31 00:00:00,rb,SELL,4289.0,292
114,2012-02-24 00:00:00,IF,BUY,2667.4,247
115,2012-03-06 00:00:00,IF,SELL,2617.6,247
116,2012-03-14 00:00:00,IF,BUY,2623.4,275
117,2012-03-20 00:00:00,IF,SELL,2614.8,275
118,2012-05-02 00:00:00,IF,BUY,2690.0,302
119,2012-05-09 00:00:00,IF,SELL,2669.6,302
120,2012-05-11 00:00:00,rb,SELL_SHORT,4164.0,414
121,2012-05-14 00:00:00,rb,SELL_SHORT,4117.0,412
122,2012-05-15 00:00:00,rb,SELL_SHORT,4067.0,392
123,2012-05-16 00:00:00,rb,SELL_SHORT,4051.0,395
124,2012-05-17 00:00:00,rb,BUY_TO_COVER,4076.0,1613
125,2012-05-23 00:00:00,rb,SELL_SHORT,4013.0,350
126,2012-05-28 00:00:00,rb,BUY_TO_COVER,4081.0,350
127,2012-06-28 00:00:00,IF,SELL_SHORT,2436.8,342
128,2012-06-29 00:00:00,IF,BUY_TO_COVER,2480.0,342
129,2012-07-06 00:00:00,IF,SELL_SHORT,2472.8,337
130,2012-07-09 00:00:00,IF,SELL_SHORT,2433.4,332
131,2012-07-10 00:00:00,rb,SELL_SHORT,3953.0,346
132,2012-07-12 00:00:00,rb,SELL_SHORT,3944.0,342
133,2012-07-13 00:00:00,IF,BUY_TO_COVER,2469.6,669
134,2012-07-16 00:00:00,rb,SELL_SHORT,3900.0,336
135,2012-07-17 00:00:00,rb,SELL_SHORT,3865.0,340
136,2012-07-18 00:00:00,IF,SELL_SHORT,2430.4,351
137,2012-07-19 00:00:00,rb,SELL_SHORT,3836.0,351
138,2012-07-20 00:00:00,rb,SELL_SHORT,3704.0,367
139,2012-07-23 00:00:00,rb,SELL_SHORT,3705.0,366
140,2012-07-23 00:00:00,IF,SELL_SHORT,2378.0,430
141,2012-07-26 00:00:00,rb,BUY_TO_COVER,3741.0,2448
142,2012-08-02 00:00:00,IF,SELL_SHORT,2360.0,459
143,2012-08-03 00:00:00,rb,SELL_SHORT,3685.0,340
144,2012-08-03 00:00:00,IF,BUY_TO_COVER,2367.2,1240
145,2012-08-10 00:00:00,rb,BUY_TO_COVER,3723.0,340
146,2012-08-14 00:00:00,IF,SELL_SHORT,2364.4,476
147,2012-08-15 00:00:00,IF,SELL_SHORT,2350.8,487
148,2012-08-17 00:00:00,rb,SELL_SHORT,3629.0,368
149,2012-08-20 00:00:00,IF,SELL_SHORT,2319.2,513
150,2012-08-21 00:00:00,rb,SELL_SHORT,3599.0,384
151,2012-08-22 00:00:00,rb,SELL_SHORT,3565.0,389
152,2012-08-24 00:00:00,rb,SELL_SHORT,3511.0,408
153,2012-08-24 00:00:00,IF,SELL_SHORT,2300.4,551
154,2012-08-27 00:00:00,IF,SELL_SHORT,2251.2,562
155,2012-08-28 00:00:00,rb,SELL_SHORT,3461.0,446
156,2012-08-29 00:00:00,IF,SELL_SHORT,2231.8,620
157,2012-08-31 00:00:00,rb,SELL_SHORT,3395.0,436
158,2012-08-31 00:00:00,IF,SELL_SHORT,2219.4,672
159,2012-09-03 00:00:00,rb,SELL_SHORT,3341.0,442
160,2012-09-03 00:00:00,IF,BUY_TO_COVER,2238.2,3881
161,2012-09-04 00:00:00,rb,SELL_SHORT,3270.0,470
162,2012-09-05 00:00:00,rb,SELL_SHORT,3224.0,489
163,2012-09-05 00:00:00,IF,SELL_SHORT,2217.0,813
164,2012-09-06 00:00:00,rb,BUY_TO_COVER,3278.0,3832
165,2012-09-06 00:00:00,IF,BUY_TO_COVER,2254.8,813
166,2012-09-24 00:00:00,IF,SELL_SHORT,2220.0,585
167,2012-09-26 00:00:00,IF,SELL_SHORT,2205.6,596
168,2012-09-27 00:00:00,IF,BUY_TO_COVER,2255.0,1181
169,2012-11-16 00:00:00,IF,SELL_SHORT,2187.4,609
170,2012-11-27 00:00:00,IF,SELL_SHORT,2155.6,670
171,2012-11-29 00:00:00,IF,SELL_SHORT,2125.2,703
172,2012-12-05 00:00:00,IF,BUY_TO_COVER,2221.6,1982
173,2012-12-14 00:00:00,rb,BUY,3787.0,415
174,2013-01-11 00:00:00,rb,SELL,3924.0,415
175,2013-01-14 00:00:00,IF,BUY,2597.2,472
176,2013-01-24 00:00:00,IF,SELL,2604.8,472
177,2013-01-25 00:00:00,rb,BUY,4076.0,363
178,2013-02-05 00:00:00,rb,SELL,4199.0,363
179,2013-02-05 00:00:00,IF,BUY,2792.0,471
180,2013-02-18 00:00:00,IF,SELL,2760.0,471
181,2013-03-14 00:00:00,rb,SELL_SHORT,3767.0,335
182,2013-03-15 00:00:00,rb,BUY_TO_COVER,3839.0,335
183,2013-03-29 00:00:00,IF,SELL_SHORT,2481.4,375
184,2013-04-01 00:00:00,rb,SELL_SHORT,3732.0,316
185,2013-04-02 00:00:00,rb,BUY_TO_COVER,3760.0,316
186,2013-04-15 00:00:00,IF,SELL_SHORT,2422.0,422
187,2013-04-16 00:00:00,rb,SELL_SHORT,3767.0,314
188,2013-04-17 00:00:00,rb,SELL_SHORT,3618.0,310
189,2013-04-18 00:00:00,rb,SELL_SHORT,3671.0,304
190,2013-04-19 00:00:00,rb,BUY_TO_COVER,3705.0,928
191,2013-04-19 00:00:00,IF,BUY_TO_COVER,2524.4,797
192,2013-04-23 00:00:00,rb,SELL_SHORT,3604.0,291
193,2013-04-24 00:00:00,rb,BUY_TO_COVER,3648.0,291
194,2013-05-02 00:00:00,rb,SELL_SHORT,3555.0,286
195,2013-05-02 00:00:00,IF,SELL_SHORT,2449.4,388
196,2013-05-03 00:00:00,rb,BUY_TO_COVER,3640.0,286
197,2013-05-03 00:00:00,IF,BUY_TO_COVER,2499.6,388
198,2013-05-16 00:00:00,rb,SELL_SHORT,3558.0,295
199,2013-05-17 00:00:00,rb,BUY_TO_COVER,3617.0,295
200,2013-05-27 00:00:00,rb,SELL_SHORT,3498.0,307
201,2013-05-29 00:00:00,rb,SELL_SHORT,3431.0,318
202,2013-06-03 00:00:00,rb,BUY_TO_COVER,3496.0,625
203,2013-06-07 00:00:00,rb,SELL_SHORT,3408.0,339
204,2013-06-13 00:00:00,IF,SELL_SHORT,2393.4,402
205,2013-06-17 00:00:00,rb,BUY_TO_COVER,3492.0,339
206,2013-06-20 00:00:00,IF,SELL_SHORT,2290.4,405
207,2013-06-24 00:00:00,IF,SELL_SHORT,2129.2,385
208,2013-06-28 00:00:00,IF,BUY_TO_COVER,2160.8,1192
209,2013-07-19 00:00:00,rb,BUY,3672.0,429
210,2013-07-29 00:00:00,rb,SELL,3628.0,429
211,2013-08-07 00:00:00,rb,BUY,3714.0,538
212,2013-08-15 00:00:00,rb,SELL,3811.0,538
213,2013-09-09 00:00:00,IF,BUY,2438.4,395
214,2013-09-10 00:00:00,IF,BUY,2481.8,402
215,2013-09-17 00:00:00,IF,SELL,2445.4,797
216,2013-10-08 00:00:00,rb,SELL_SHORT,3597.0,572
217,2013-10-14 00:00:00,rb,BUY_TO_COVER,3644.0,572
218,2013-10-25 00:00:00,rb,SELL_SHORT,3533.0,586
219,2013-10-29 00:00:00,rb,BUY_TO_COVER,3555.0,586
220,2013-12-23 00:00:00,IF,SELL_SHORT,2312.2,523
221,2013-12-27 00:00:00,IF,BUY_TO_COVER,2345.0,523
222,2014-01-06 00:00:00,IF,SELL_SHORT,2237.8,494
223,2014-01-07 00:00:00,rb,SELL_SHORT,3483.0,615
224,2014-01-08 00:00:00,i,SELL_SHORT,889.0,1692
225,2014-01-10 00:00:00,rb,BUY_TO_COVER,3509.0,615
226,2014-01-10 00:00:00,i,SELL_SHORT,873.0,1647
227,2014-01-10 00:00:00,IF,SELL_SHORT,2227.0,508
228,2014-01-13 00:00:00,i,SELL_SHORT,864.0,1693
229,2014-01-14 00:00:00,i,BUY_TO_COVER,876.0,5032
230,2014-01-17 00:00:00,IF,SELL_SHORT,2202.6,534
231,2014-01-20 00:00:00,i,SELL_SHORT,856.0,1708
232,2014-01-21 00:00:00,rb,SELL_SHORT,3430.0,604
233,2014-01-21 00:00:00,i,SELL_SHORT,845.0,1658
234,2014-01-22 00:00:00,IF,BUY_TO_COVER,2258.8,1536
235,2014-01-23 00:00:00,rb,BUY_TO_COVER,3479.0,604
236,2014-01-23 00:00:00,i,BUY_TO_COVER,870.0,3366
237,2014-02-10 00:00:00,rb,SELL_SHORT,3447.0,520
238,2014-02-11 00:00:00,rb,SELL_SHORT,3418.0,521
239,2014-02-14 00:00:00,rb,BUY_TO_COVER,3453.0,1041
240,2014-02-24 00:00:00,rb,SELL_SHORT,3371.0,517
241,2014-02-24 00:00:00,i,SELL_SHORT,822.0,1420
242,2014-02-25 00:00:00,IF,SELL_SHORT,2142.8,477
243,2014-02-28 00:00:00,i,SELL_SHORT,812.0,1419
244,2014-02-28 00:00:00,IF,BUY_TO_COVER,2163.6,477
245,2014-03-03 00:00:00,i,SELL_SHORT,804.0,1422
246,2014-03-06 00:00:00,rb,SELL_SHORT,3349.0,532
247,2014-03-06 00:00:00,i,SELL_SHORT,792.0,1454
248,2014-03-06 00:00:00,IF,SELL_SHORT,2164.2,494
249,2014-03-07 00:00:00,rb,SELL_SHORT,3251.0,561
250,2014-03-07 00:00:00,i,SELL_SHORT,746.0,1538
251,2014-03-07 00:00:00,IF,SELL_SHORT,2118.0,546
252,2014-03-10 00:00:00,rb,SELL_SHORT,3146.0,613
253,2014-03-10 00:00:00,i,SELL_SHORT,732.0,1721
254,2014-03-10 00:00:00,IF,SELL_SHORT,2062.6,618
255,2014-03-11 00:00:00,IF,BUY_TO_COVER,2066.6,1658
256,2014-03-12 00:00:00,rb,BUY_TO_COVER,3239.0,2223
257,2014-03-13 00:00:00,i,BUY_TO_COVER,752.0,8974
258,2014-03-20 00:00:00,IF,SELL_SHORT,2048.8,551
259,2014-03-21 00:00:00,IF,BUY_TO_COVER,2140.0,551
260,2014-05-16 00:00:00,rb,SELL_SHORT,3082.0,544
261,2014-05-16 00:00:00,i,SELL_SHORT,711.0,1345
262,2014-05-19 00:00:00,i,SELL_SHORT,703.0,1356
263,2014-05-20 00:00:00,rb,SELL_SHORT,3068.0,569
264,2014-05-23 00:00:00,rb,BUY_TO_COVER,3095.0,1113
265,2014-05-26 00:00:00,i,BUY_TO_COVER,718.0,2701
266,2014-05-30 00:00:00,rb,SELL_SHORT,3063.0,555
267,2014-05-30 00:00:00,i,SELL_SHORT,685.0,1323
268,2014-06-04 00:00:00,i,BUY_TO_COVER,694.0,1323
269,2014-06-06 00:00:00,rb,BUY_TO_COVER,3077.0,555
270,2014-06-12 00:00:00,rb,SELL_SHORT,3020.0,615
271,2014-06-12 00:00:00,i,SELL_SHORT,665.0,1501
272,2014-06-16 00:00:00,rb,SELL_SHORT,3003.0,628
273,2014-06-17 00:00:00,rb,BUY_TO_COVER,3023.0,1243
274,2014-06-20 00:00:00,i,BUY_TO_COVER,683.0,1501
275,2014-07-23 00:00:00,IF,BUY,2192.2,847
276,2014-08-01 00:00:00,IF,SELL,2349.4,847
277,2014-08-04 00:00:00,IF,BUY,2395.2,682
278,2014-08-05 00:00:00,IF,SELL,2370.0,682
279,2014-08-14 00:00:00,i,SELL_SHORT,654.0,1953
280,2014-08-15 00:00:00,i,BUY_TO_COVER,666.0,1953
281,2014-08-18 00:00:00,i,SELL_SHORT,651.0,1878
282,2014-08-20 00:00:00,rb,SELL_SHORT,2997.0,792
283,2014-08-22 00:00:00,i,SELL_SHORT,642.0,1978
284,2014-08-25 00:00:00,rb,SELL_SHORT,2982.0,823
285,2014-08-27 00:00:00,i,SELL_SHORT,636.0,2058
286,2014-08-28 00:00:00,rb,SELL_SHORT,2935.0,866
287,2014-08-28 00:00:00,i,SELL_SHORT,626.0,2072
288,2014-09-01 00:00:00,rb,SELL_SHORT,2916.0,919
289,2014-09-01 00:00:00,i,SELL_SHORT,619.0,2222
290,2014-09-02 00:00:00,i,BUY_TO_COVER,626.0,10208
291,2014-09-03 00:00:00,rb,SELL_SHORT,2859.0,909
292,2014-09-03 00:00:00,i,SELL_SHORT,605.0,2175
293,2014-09-03 00:00:00,IF,BUY,2418.2,851
294,2014-09-04 00:00:00,rb,SELL_SHORT,2842.0,958
295,2014-09-04 00:00:00,i,SELL_SHORT,595.0,2247
296,2014-09-04 00:00:00,IF,BUY,2454.4,884
297,2014-09-05 00:00:00,i,SELL_SHORT,589.0,2324
298,2014-09-05 00:00:00,IF,BUY,2476.0,916
299,2014-09-09 00:00:00,rb,SELL_SHORT,2764.0,1055
300,2014-09-10 00:00:00,IF,SELL,2447.0,2651
301,2014-09-11 00:00:00,IF,BUY,2425.0,995
302,2014-09-12 00:00:00,rb,BUY_TO_COVER,2814.0,6322
303,2014-09-12 00:00:00,IF,BUY,2437.6,931
304,2014-09-16 00:00:00,IF,SELL,2412.0,1926
305,2014-09-19 00:00:00,rb,SELL_SHORT,2700.0,803
306,2014-09-22 00:00:00,rb,SELL_SHORT,2615.0,795
307,2014-09-25 00:00:00,rb,SELL_SHORT,2549.0,786
